PostCode,Ward's Name,Latitude,Longitude
KT10 0JH,Claygate,51.3607,-0.3401
 KT12 4AR,Hersham South,51.3604,-0.4155
 KT24 5SJ,Effingham,51.2712,-0.4114
 KT24 6EJ,Clandon and Horsley,51.2574,-0.4558
CR3 0BP,Whyteleafe,53.75765573,-2.486559595
CR3 0WX,Harestone,53.75765573,-2.486559595
CR3 5AN,Chaldon,53.75765573,-2.486559595
CR3 5JJ,Portley,53.75765573,-2.486559595
CR3 6QH,Valley,53.75765573,-2.486559595
CR3 5AW,Westway,53.75765573,-2.486559595
CR3 5RF,Queens Park,53.75765573,-2.486559595
CR3 7JH,Woldingham,53.75765573,-2.486559595
CR5 3QQ,"Chipstead, Hooley and Woodmansterne",53.75765573,-2.486559595
CR6 9AL,Warlingham West,53.75765573,-2.486559595
CR6 9QN,Warlingham East and Chelsham and Farleigh,53.75765573,-2.486559595
GU1 3AP,Holy Trinity,51.23672098,-0.569803645
GU1 1JQ,Stoke,51.23218018,-0.57647585
"GU1 1TP,",Christchurch,51.23218018,-0.57647585
GU1 1YP,Burpham,51.23218018,-0.57647585
GU1 2SB,Merrow,51.23218018,-0.57647585
gu10 1da,Ash South and Tongham,51.23807503,-0.730087669
GU10 1PA,Farnham Moor Park,51.22044601,-0.766844
GU10 4AX,Farnham Shortheath and Boundstone,51.18815252,-0.81527032
GU10 3PZ,Farnham Bourne,51.214399,-0.801678147
GU10 4ET,"Frensham, Dockenfield and Tilford",51.214399,-0.801678147
GU10 4NQ,Farnham Wrecclesham and Rowledge,51.214399,-0.801678147
GU12 5HW,Ash Wharf,51.25915337,-0.721854003
GU12 5ND,Ash Vale,51.27199252,-0.727461419
GU15 1PR,St. Pauls,51.34646108,-0.710538833
GU15 1TD,St. Michaels,51.33419431,-0.699025781
GU15 2SR,Watchetts,51.32619936,-0.75183922
GU15 3SL,Camberley Town,51.33808996,-0.746218953
GU15 3US,Old Dean,51.34927385,-0.713647731
GU16 6DQ,Mytchett and Deepcut,51.28385279,-0.715877443
GU16 6HL,Frimley Green,51.30135857,-0.731354673
GU16 6ST,West End,51.318328,-0.692099
GU16 9AE,Heatherside,51.31097845,-0.727043389
GU16 8JU,Frimley,51.31223845,-0.723837606
GU18 5UJ,Lightwater,51.34435545,-0.679539
GU19 5JW,Bagshot,51.317681,-0.555851
GU2 8AS,Westborough,51.24801583,-0.589842408
GU2 9AB,Stoughton,51.24921435,-0.586323904
GU2 4JA,Friary and St. Nicolas,51.24948471,-0.585627837
GU2 7SR,Onslow,51.24948471,-0.585627837
GU20 6QH,Windlesham,51.36478156,-0.654850301
GU21 3BA,Goldsworth East,51.32451843,-0.584985953
GU21 4AE,Horsell East and Woodham,51.323057,-0.557964
GU21 4LB,Horsell West,51.32636668,-0.578700026
GU21 2EB,Knaphill,51.31896868,-0.607370996
GU21 5NP,Maybury and Sheerwater,51.31896868,-0.607370996
GU22 0DH,Mount Hermon West,51.30674562,-0.571329532
GU22 0DJ,St. John's and Hook Heath,51.30628146,-0.573825869
GU22 8JE,Old Woking,51.30782329,-0.53626095
GU22 7DX,Mount Hermon East,51.30483078,-0.547976387
GU22 8TD,Pyrford,51.30483078,-0.547976387
GU23 6EX,Lovelace,51.28740726,-0.503281431
GU23 6JR,Send,51.28841371,-0.506747896
GU24 0QQ,Brookwood,51.304851,-0.668395
